id,username,question,response,date
47,Brigitte,Combien de credits dois-je obtenir pour valider mon semestre ?,Vous devez obtenir 30 credits pour valider votre semestre,09/27/24 10:06 PM
48,Claire,Combien coute la preinscription ?,La preinscription est gratuite,09/28/24 12:28 AM
49,Amelie,Qu'est ce que ce chatbot ?,Ce chatbot est concu pour vous aider à vous preinscrire en ligne,09/28/24 08:00 PM
50,Tangay,,Enchante ! Nous sommes ici pour vous aider à reussir votre preinscription,09/28/24 11:22 AM
51,Samuel,Quels sont les avantages de l'utilisation de ce chabot ?,"ce chatbot vous permet de vous preinscrire rapidement et facilement, sans avoir à remplir de longs formulaire",09/28/24 05:08 PM
52,Michel,Puis je preinscrire si je n'ai pas de diplome requis ?,,09/28/24 02:34 PM
53,Martin,Comment fonctionne ce chabot ?,ce chatbot vous pose des questions pour collecter vos informations et vous guide tout au long du processus de preinscription,09/28/24 08:06 PM
54,Felix,,Bonjour ! Bienvenue ans notre chatbot de preinscription,09/28/24 12:00 AM
55,David,Comment puis-je payer les frais de scolarité ?,Vous pouvez payer les frais de sclarite en ligne ou par chèque,09/29/24 01:11 AM
56,David,Qu'est ce que ce chatbot ?,Ce chatbot est concu pour vous aider à vous preinscrire en ligne,09/30/24 08:06 PM
57,Thierry,,Hello ! Comment puis-je vous aider aujourd'hui ?,09/29/24 08:10 PM
58,Salenom,Comment fonctionne ce chabot ?,ce chatbotbot vous pose des questions pour collecter vos informations et vous guide tout au long du processus de preinscription,09/29/24 03:20 AM
59,Bernad,Quels sont les avantages de l'utilisation de ce chabot ?,"ce chatbot vous permet de vous preinscrire rapidement et facilement, sans avoir à remplir de longs formulaire",09/29/24 12:54 AM
60,Eric,Comment fonctionne ce chabot ?,ce chatbotbot vous pose des questions pour collecter vos informations et vous guide tout au long du processus de preinscription,09/29/24 03:37 PM
61,Samuel,Puis-je annuler ma preinscription ?,"Oui, vous pouvez annuker votre preinscription en nous contactant",09/29/24 12:28 AM
62,David,,Enchante ! Nous sommes ici pour vous aider à reussir votre preinscription,09/30/24 08:17 AM
63,Rose,Le chatbot ne fonctionne pas,Hello ! Comment puis-je vous aider aujourd'hui ?,09/30/24 08:06 PM
54,Patricia,Comment je serai informe de la decision relative à ma preinscription ?,Vous serez informe par courriel ou par telephone,09/30/24 04:06 AM
65,Fabrice,Comment je serai informe de la decision relative à ma preinscription ?,Vous serez informe par courriel ou par telephone,09/30/24 08:41 PM
66,Celistin,Puis -je me preinscrire en ligne si je suis á l'etranger ?,"Oui, vous pouvez vous preinscrire depuis n'importe oû dans le monde",09/30/24 10:37 PM
67,Gabriel,,Bienvenue dans note communauté! Nous sommes heureux de vous avoie à bord,09/22/24 07:01 AM
68,Ange,Combien de temps prend la verification des documents ?,La verification des documents prend environ 3-5jours ouvrables,09/06/24 08:03 PM
69,Alexandre,Combien de temps prend la procedure de visa ?,,09/29/24 10:05 AM
70,Ismael,Puis-je annuler ma preinscription ?,"Oui, vous pouvez annuker votre preinscription en nous contactant",09/24/24 04:09 AM
71,Ismael,Combien de temps prend la verification des documents ?,La verification des documents prend environ 3-5jours ouvrables,date
72,,Combien de temps prend la verification des documents ?,La verification des documents prend environ 3-5jours ouvrables,date
